time,price
2019-07-04 20:45:00,49.0
2019-07-04 21:00:00,37.5
2019-07-04 21:15:00,36.0
2019-07-04 21:30:00,46.9
2019-07-04 21:45:00,30.0
2019-07-04 22:00:00,48.0
2019-07-04 22:15:00,32.0
2019-07-04 22:30:00,39.9
2019-07-04 22:45:00,2.0
2019-07-04 23:00:00,34.2
2019-07-04 23:15:00,42.5
2019-07-04 23:30:00,44.0
2019-07-04 23:45:00,5.0
2019-07-05 00:00:00,50.5
2019-07-05 00:15:00,63.9
2019-07-05 00:30:00,40.0
2019-07-05 00:45:00,30.0
2019-07-05 01:00:00,26.599999999999998
2019-07-05 01:15:00,45.0
2019-07-05 01:30:00,45.0
2019-07-05 01:45:00,42.0
2019-07-05 02:00:00,27.0
2019-07-05 02:15:00,37.5
2019-07-05 02:30:00,43.555775999999994
2019-07-05 02:45:00,43.82971
2019-07-05 03:00:00,5.0
2019-07-05 03:15:00,27.7
2019-07-05 03:30:00,18.0
2019-07-05 03:45:00,22.9
2019-07-05 04:00:00,23.0
2019-07-05 04:15:00,40.0
2019-07-05 04:30:00,38.0
2019-07-05 04:45:00,32.0
2019-07-05 05:00:00,20.0
2019-07-05 05:15:00,48.0
2019-07-05 05:30:00,48.300000000000004
2019-07-05 05:45:00,52.5
2019-07-05 06:00:00,15.0
2019-07-05 06:15:00,39.0
2019-07-05 06:30:00,40.2
2019-07-05 06:45:00,46.0
2019-07-05 07:00:00,22.9
2019-07-05 07:15:00,41.0
2019-07-05 07:30:00,40.0
2019-07-05 07:45:00,44.8
2019-07-05 08:00:00,41.9
2019-07-05 08:15:00,34.0
2019-07-05 08:30:00,38.1
2019-07-05 08:45:00,35.0
2019-07-05 09:00:00,47.5
2019-07-05 09:15:00,39.0
2019-07-05 09:30:00,38.9
2019-07-05 09:45:00,36.7
2019-07-05 10:00:00,53.0
2019-07-05 10:15:00,54.800000000000004
2019-07-05 10:30:00,55.9
2019-07-05 10:45:00,56.0
2019-07-05 11:00:00,58.0
2019-07-05 11:15:00,62.4
2019-07-05 11:30:00,75.0
2019-07-05 11:45:00,57.6
2019-07-05 12:00:00,50.5
2019-07-05 12:15:00,49.099999999999994
2019-07-05 12:30:00,38.0
2019-07-05 12:45:00,34.0
2019-07-05 13:00:00,39.699999999999996
2019-07-05 13:15:00,50.6
2019-07-05 13:30:00,57.5
2019-07-05 13:45:00,56.9
2019-07-05 14:00:00,51.0
2019-07-05 14:15:00,57.2
2019-07-05 14:30:00,70.9
2019-07-05 14:45:00,68.8
2019-07-05 15:00:00,70.0
2019-07-05 15:15:00,54.0
2019-07-05 15:30:00,54.699999999999996
2019-07-05 15:45:00,46.0
2019-07-05 16:00:00,37.0
2019-07-05 16:15:00,55.0
2019-07-05 16:30:00,58.0
2019-07-05 16:45:00,64.0
2019-07-05 17:00:00,36.0
2019-07-05 17:15:00,56.621643
2019-07-05 17:30:00,61.997228
2019-07-05 17:45:00,65.767145
2019-07-05 18:00:00,45.699999999999996
2019-07-05 18:15:00,70.8
2019-07-05 18:30:00,68.0
2019-07-05 18:45:00,61.699999999999996
2019-07-05 19:00:00,60.199999999999996
2019-07-05 19:15:00,63.0
2019-07-05 19:30:00,66.8
2019-07-05 19:45:00,57.1
2019-07-05 20:00:00,57.2
2019-07-05 20:15:00,59.1
2019-07-05 20:30:00,57.0
2019-07-05 20:45:00,51.1
2019-07-05 21:00:00,51.0
2019-07-05 21:15:00,56.099999999999994
2019-07-05 21:30:00,43.0
2019-07-05 21:45:00,38.0
2019-07-05 22:00:00,74.0
2019-07-05 22:15:00,77.8
2019-07-05 22:30:00,38.199999999999996
2019-07-05 22:45:00,45.0
2019-07-05 23:00:00,46.4
2019-07-05 23:15:00,49.9
2019-07-05 23:30:00,43.1
2019-07-05 23:45:00,33.0
2019-07-06 00:00:00,49.0
2019-07-06 00:15:00,40.0
2019-07-06 00:30:00,35.9
2019-07-06 00:45:00,34.0
2019-07-06 01:00:00,49.2
2019-07-06 01:15:00,34.1
2019-07-06 01:30:00,40.4
2019-07-06 01:45:00,37.0
2019-07-06 02:00:00,52.0
2019-07-06 02:15:00,54.9
2019-07-06 02:30:00,47.092115
2019-07-06 02:45:00,35.559804
2019-07-06 03:00:00,52.400000000000006
2019-07-06 03:15:00,29.3
2019-07-06 03:30:00,27.099999999999998
2019-07-06 03:45:00,25.0
2019-07-06 04:00:00,30.099999999999998
2019-07-06 04:15:00,33.099999999999994
2019-07-06 04:30:00,45.199999999999996
2019-07-06 04:45:00,48.9
2019-07-06 05:00:00,35.5
2019-07-06 05:15:00,29.0
2019-07-06 05:30:00,44.0
2019-07-06 05:45:00,59.8
2019-07-06 06:00:00,33.6
2019-07-06 06:15:00,32.0
2019-07-06 06:30:00,39.699999999999996
2019-07-06 06:45:00,59.0
2019-07-06 07:00:00,27.0
2019-07-06 07:15:00,30.0
2019-07-06 07:30:00,56.0
2019-07-06 07:45:00,47.0
2019-07-06 08:00:00,42.0
2019-07-06 08:15:00,40.0
2019-07-06 08:30:00,45.0
2019-07-06 08:45:00,56.9
2019-07-06 09:00:00,57.0
2019-07-06 09:15:00,41.5
2019-07-06 09:30:00,58.0
2019-07-06 09:45:00,40.0
2019-07-06 10:00:00,51.6
2019-07-06 10:15:00,57.0
2019-07-06 10:30:00,43.0
2019-07-06 10:45:00,45.8
2019-07-06 11:00:00,60.0
2019-07-06 11:15:00,60.0
2019-07-06 11:30:00,70.0
2019-07-06 11:45:00,35.5
2019-07-06 12:00:00,61.800000000000004
2019-07-06 12:15:00,37.0
2019-07-06 12:30:00,44.5
2019-07-06 12:45:00,37.5
2019-07-06 13:00:00,39.0
2019-07-06 13:15:00,50.0
2019-07-06 13:30:00,37.400000000000006
2019-07-06 13:45:00,28.0
2019-07-06 14:00:00,33.0
2019-07-06 14:15:00,33.0
2019-07-06 14:30:00,28.400000000000002
2019-07-06 14:45:00,33.300000000000004
2019-07-06 15:00:00,25.0
2019-07-06 15:15:00,35.0
2019-07-06 15:30:00,50.0
2019-07-06 15:45:00,41.0
2019-07-06 16:00:00,51.0
2019-07-06 16:15:00,58.3
2019-07-06 16:30:00,64.0
2019-07-06 16:45:00,78.0
2019-07-06 17:00:00,65.0
2019-07-06 17:15:00,56.103558
2019-07-06 17:30:00,59.361682
2019-07-06 17:45:00,57.765226000000006
2019-07-06 18:00:00,48.800000000000004
2019-07-06 18:15:00,50.1
2019-07-06 18:30:00,39.0
2019-07-06 18:45:00,31.0
2019-07-06 19:00:00,45.0
2019-07-06 19:15:00,34.0
2019-07-06 19:30:00,28.0
2019-07-06 19:45:00,36.0
2019-07-06 20:00:00,54.800000000000004
2019-07-06 20:15:00,33.0
2019-07-06 20:30:00,28.1
2019-07-06 20:45:00,40.0
2019-07-06 21:00:00,55.300000000000004
2019-07-06 21:15:00,45.0
2019-07-06 21:30:00,55.0
2019-07-06 21:45:00,46.0
2019-07-06 22:00:00,71.0
2019-07-06 22:15:00,84.9
2019-07-06 22:30:00,40.0
2019-07-06 22:45:00,39.0
2019-07-06 23:00:00,40.0
2019-07-06 23:15:00,53.0
2019-07-06 23:30:00,38.9
2019-07-06 23:45:00,18.5
2019-07-07 00:00:00,75.0
2019-07-07 00:15:00,58.0
2019-07-07 00:30:00,42.5
2019-07-07 00:45:00,40.0
2019-07-07 01:00:00,50.0
2019-07-07 01:15:00,33.9
2019-07-07 01:30:00,35.6
2019-07-07 01:45:00,30.8
2019-07-07 02:00:00,52.0
2019-07-07 02:15:00,62.0
2019-07-07 02:30:00,57.0
2019-07-07 02:45:00,51.0
2019-07-07 03:00:00,49.8
2019-07-07 03:15:00,45.199999999999996
2019-07-07 03:30:00,37.3
2019-07-07 03:45:00,43.0
2019-07-07 04:00:00,45.0
2019-07-07 04:15:00,56.0
2019-07-07 04:30:00,60.0
2019-07-07 04:45:00,44.0
2019-07-07 05:00:00,45.0
2019-07-07 05:15:00,55.0
2019-07-07 05:30:00,21.0
2019-07-07 05:45:00,26.700000000000003
2019-07-07 06:00:00,19.0
2019-07-07 06:15:00,39.9
2019-07-07 06:30:00,45.1
2019-07-07 06:45:00,56.0
2019-07-07 07:00:00,13.100000000000001
2019-07-07 07:15:00,46.0
2019-07-07 07:30:00,33.0
2019-07-07 07:45:00,38.0
2019-07-07 08:00:00,55.800000000000004
2019-07-07 08:15:00,40.0
2019-07-07 08:30:00,46.0
2019-07-07 08:45:00,53.0
2019-07-07 09:00:00,31.0
2019-07-07 09:15:00,49.0
2019-07-07 09:30:00,49.0
2019-07-07 09:45:00,49.0
2019-07-07 10:00:00,44.0
2019-07-07 10:15:00,53.0
2019-07-07 10:30:00,56.0
2019-07-07 10:45:00,49.0
2019-07-07 11:00:00,49.0
2019-07-07 11:15:00,51.0
2019-07-07 11:30:00,56.0
2019-07-07 11:45:00,66.0
2019-07-07 12:00:00,58.0
2019-07-07 12:15:00,55.0
2019-07-07 12:30:00,58.0
2019-07-07 12:45:00,61.0
2019-07-07 13:00:00,55.5
2019-07-07 13:15:00,61.0
2019-07-07 13:30:00,49.2
2019-07-07 13:45:00,51.0
2019-07-07 14:00:00,54.0
2019-07-07 14:15:00,64.0
2019-07-07 14:30:00,63.0
2019-07-07 14:45:00,55.800000000000004
2019-07-07 15:00:00,62.0
2019-07-07 15:15:00,71.0
2019-07-07 15:30:00,69.0
2019-07-07 15:45:00,58.0
2019-07-07 16:00:00,64.0
2019-07-07 16:15:00,74.0
2019-07-07 16:30:00,85.6
2019-07-07 16:45:00,87.9
2019-07-07 17:00:00,57.8
2019-07-07 17:15:00,58.960422
2019-07-07 17:30:00,72.525
2019-07-07 17:45:00,74.39999999999999
2019-07-07 18:00:00,75.0
2019-07-07 18:15:00,72.9
2019-07-07 18:30:00,79.0
2019-07-07 18:45:00,77.3
2019-07-07 19:00:00,74.0
2019-07-07 19:15:00,61.0
2019-07-07 19:30:00,69.9
2019-07-07 19:45:00,61.0
2019-07-07 20:00:00,65.0
2019-07-07 20:15:00,94.0
2019-07-07 20:30:00,73.1
2019-07-07 20:45:00,47.0
2019-07-07 21:00:00,63.0
2019-07-07 21:15:00,70.1
2019-07-07 21:30:00,62.0
2019-07-07 21:45:00,47.0
2019-07-07 22:00:00,72.1
2019-07-07 22:15:00,67.4
2019-07-07 22:30:00,65.0
2019-07-07 22:45:00,66.0
2019-07-07 23:00:00,36.0
2019-07-07 23:15:00,60.699999999999996
2019-07-07 23:30:00,68.0
2019-07-07 23:45:00,57.0
